order_id,order_date,customer_id,product_id,quantity,unit_price,discount,net_sales,channel,province,category,payment_id,payment_method,payment_status,paid_at,is_paid_sale
ORD000001,2026-01-08 17:11:00,C0158,P039,2,940.5,0.0,1881.0,Marketplace,เชียงใหม่,Notebook,PAY000001,Bank Transfer,PAID,2026-01-08 17:30:00,True
ORD000002,2026-01-12 20:13:00,C0123,P038,1,12900.0,0.1,11610.0,Mobile App,ระยอง,Smartphone,PAY000002,Bank Transfer,PAID,2026-01-12 22:58:00,True
ORD000003,2026-01-26 14:00:00,C0119,P031,3,1415.5,0.05,4034.1749999999997,Web,ขอนแก่น,Smart Home,PAY000003,PromptPay,PAID,2026-01-26 14:03:00,True
ORD000004,2026-01-18 16:18:00,C0065,P003,2,25900.0,0.0,51800.0,Mobile App,ขอนแก่น,Smartphone,PAY000004,Bank Transfer,PAID,2026-01-18 18:24:00,True
ORD000005,2026-01-08 17:43:00,C0129,P007,2,23310.0,0.05,44289.0,Mobile App,กรุงเทพมหานคร,Notebook,PAY000005,Credit Card,PAID,2026-01-08 20:03:00,True
ORD000006,2026-01-23 11:50:00,C0097,P037,2,27195.0,0.0,54390.0,Mobile App,เชียงใหม่,Smart Home,PAY000006,Bank Transfer,PAID,2026-01-23 12:37:00,True
ORD000007,2026-01-24 07:03:00,C0139,P001,1,284.05,0.0,284.05,Web,ระยอง,Notebook,PAY000007,Bank Transfer,PAID,2026-01-24 09:09:00,True
ORD000010,2026-01-07 03:12:00,C0100,P017,2,990.0,0.1,1782.0,Mobile App,กรุงเทพมหานคร,Smartphone,PAY000010,Bank Transfer,PAID,2026-01-07 04:36:00,True
ORD000011,2026-01-12 14:34:00,C0120,P028,2,313.95,0.0,627.9,Web,ขอนแก่น,Smartphone,PAY000011,Credit Card,PAID,2026-01-12 16:27:00,True
ORD000012,2026-01-08 22:35:00,C0141,P008,2,449.1,0.05,853.29,Marketplace,กรุงเทพมหานคร,Accessory,PAY000012,Bank Transfer,PAID,2026-01-08 23:43:00,True
ORD000013,2026-01-27 22:41:00,C0110,P002,2,1341.0,0.0,2682.0,Mobile App,เชียงใหม่,Smartphone,PAY000013,Bank Transfer,PAID,2026-01-28 01:23:00,True
ORD000014,2026-01-20 07:11:00,C0142,P017,4,990.0,0.0,3960.0,Marketplace,ชลบุรี,Smartphone,PAY000014,Credit Card,PAID,2026-01-20 09:42:00,True
ORD000015,2026-01-04 13:47:00,C0151,P018,2,4189.5,0.0,8379.0,Web,ชลบุรี,Smartphone,PAY000015,Bank Transfer,PAID,2026-01-04 15:28:00,True
ORD000016,2026-01-18 06:47:00,C0072,P006,1,313.95,0.0,313.95,Mobile App,เชียงใหม่,Accessory,PAY000016,Bank Transfer,PAID,2026-01-18 07:49:00,True
ORD000017,2026-01-27 00:37:00,C0048,P019,2,3591.0,0.0,7182.0,Mobile App,กรุงเทพมหานคร,Smartphone,PAY000017,Bank Transfer,PAID,2026-01-27 03:19:00,True
ORD000018,2026-01-05 02:59:00,C0037,P001,3,299.0,0.0,897.0,Marketplace,ภูเก็ต,Notebook,PAY000018,Bank Transfer,PAID,2026-01-05 03:24:00,True
ORD000019,2026-01-14 22:23:00,C0159,P019,1,4189.5,0.1,3770.55,Web,ภูเก็ต,Smartphone,PAY000019,PromptPay,PAID,2026-01-15 00:15:00,True
